288 points
E( 0 , 1 ) 
E( 0 , 0 ) 
E( 1 , 0 ) 
E( 1 , 1 ) 
E( 2 , 48 ) 
E( 2 , 50 ) 
E( 4 , 105 ) 
E( 4 , 109 ) 
E( 9 , 207 ) 
E( 9 , 198 ) 
E( 10 , 221 ) 
E( 10 , 215 ) 
E( 11 , 232 ) 
E( 11 , 227 ) 
E( 14 , 240 ) 
E( 14 , 254 ) 
E( 15 , 218 ) 
E( 15 , 213 ) 
E( 16 , 248 ) 
E( 16 , 232 ) 
E( 18 , 132 ) 
E( 18 , 150 ) 
E( 19 , 15 ) 
E( 19 , 28 ) 
E( 22 , 197 ) 
E( 22 , 211 ) 
E( 24 , 85 ) 
E( 24 , 77 ) 
E( 25 , 26 ) 
E( 25 , 3 ) 
E( 26 , 75 ) 
E( 26 , 81 ) 
E( 27 , 243 ) 
E( 27 , 232 ) 
E( 29 , 234 ) 
E( 29 , 247 ) 
E( 30 , 55 ) 
E( 30 , 41 ) 
E( 32 , 48 ) 
E( 32 , 16 ) 
E( 33 , 81 ) 
E( 33 , 112 ) 
E( 34 , 18 ) 
E( 34 , 48 ) 
E( 36 , 230 ) 
E( 36 , 194 ) 
E( 38 , 32 ) 
E( 38 , 6 ) 
E( 40 , 243 ) 
E( 40 , 219 ) 
E( 44 , 253 ) 
E( 44 , 209 ) 
E( 46 , 4 ) 
E( 46 , 42 ) 
E( 47 , 34 ) 
E( 47 , 13 ) 
E( 50 , 203 ) 
E( 50 , 249 ) 
E( 51 , 243 ) 
E( 51 , 192 ) 
E( 52 , 178 ) 
E( 52 , 134 ) 
E( 57 , 250 ) 
E( 57 , 195 ) 
E( 59 , 81 ) 
E( 59 , 106 ) 
E( 60 , 236 ) 
E( 60 , 208 ) 
E( 63 , 111 ) 
E( 63 , 80 ) 
E( 65 , 139 ) 
E( 65 , 202 ) 
E( 67 , 228 ) 
E( 67 , 167 ) 
E( 68 , 214 ) 
E( 68 , 146 ) 
E( 69 , 175 ) 
E( 69 , 234 ) 
E( 71 , 137 ) 
E( 71 , 206 ) 
E( 73 , 53 ) 
E( 73 , 124 ) 
E( 75 , 229 ) 
E( 75 , 174 ) 
E( 76 , 238 ) 
E( 76 , 162 ) 
E( 78 , 71 ) 
E( 78 , 9 ) 
E( 79 , 131 ) 
E( 79 , 204 ) 
E( 83 , 63 ) 
E( 83 , 108 ) 
E( 84 , 183 ) 
E( 84 , 227 ) 
E( 85 , 135 ) 
E( 85 , 210 ) 
E( 88 , 178 ) 
E( 88 , 234 ) 
E( 89 , 136 ) 
E( 89 , 209 ) 
E( 90 , 61 ) 
E( 90 , 103 ) 
E( 92 , 89 ) 
E( 92 , 5 ) 
E( 93 , 193 ) 
E( 93 , 156 ) 
E( 95 , 227 ) 
E( 95 , 188 ) 
E( 96 , 116 ) 
E( 96 , 20 ) 
E( 100 , 190 ) 
E( 100 , 218 ) 
E( 106 , 157 ) 
E( 106 , 247 ) 
E( 107 , 177 ) 
E( 107 , 218 ) 
E( 108 , 178 ) 
E( 108 , 222 ) 
E( 109 , 155 ) 
E( 109 , 246 ) 
E( 110 , 199 ) 
E( 110 , 169 ) 
E( 111 , 101 ) 
E( 111 , 10 ) 
E( 112 , 25 ) 
E( 112 , 105 ) 
E( 116 , 105 ) 
E( 116 , 29 ) 
E( 117 , 164 ) 
E( 117 , 209 ) 
E( 119 , 128 ) 
E( 119 , 247 ) 
E( 121 , 126 ) 
E( 121 , 7 ) 
E( 123 , 99 ) 
E( 123 , 24 ) 
E( 126 , 58 ) 
E( 126 , 68 ) 
E( 127 , 44 ) 
E( 127 , 83 ) 
E( 128 , 17 ) 
E( 128 , 145 ) 
E( 129 , 94 ) 
E( 129 , 223 ) 
E( 131 , 212 ) 
E( 131 , 87 ) 
E( 133 , 175 ) 
E( 133 , 42 ) 
E( 136 , 51 ) 
E( 136 , 187 ) 
E( 140 , 120 ) 
E( 140 , 244 ) 
E( 142 , 74 ) 
E( 142 , 196 ) 
E( 144 , 238 ) 
E( 144 , 126 ) 
E( 145 , 194 ) 
E( 145 , 83 ) 
E( 146 , 214 ) 
E( 146 , 68 ) 
E( 147 , 109 ) 
E( 147 , 254 ) 
E( 148 , 172 ) 
E( 148 , 56 ) 
E( 150 , 13 ) 
E( 150 , 155 ) 
E( 151 , 109 ) 
E( 151 , 250 ) 
E( 152 , 22 ) 
E( 152 , 142 ) 
E( 153 , 65 ) 
E( 153 , 216 ) 
E( 155 , 121 ) 
E( 155 , 226 ) 
E( 157 , 254 ) 
E( 157 , 99 ) 
E( 158 , 62 ) 
E( 158 , 160 ) 
E( 164 , 248 ) 
E( 164 , 92 ) 
E( 169 , 135 ) 
E( 169 , 46 ) 
E( 171 , 42 ) 
E( 171 , 129 ) 
E( 174 , 250 ) 
E( 174 , 84 ) 
E( 175 , 199 ) 
E( 175 , 104 ) 
E( 177 , 19 ) 
E( 177 , 162 ) 
E( 178 , 184 ) 
E( 178 , 10 ) 
E( 179 , 136 ) 
E( 179 , 59 ) 
E( 180 , 76 ) 
E( 180 , 248 ) 
E( 181 , 119 ) 
E( 181 , 194 ) 
E( 182 , 210 ) 
E( 182 , 100 ) 
E( 183 , 37 ) 
E( 183 , 146 ) 
E( 185 , 180 ) 
E( 185 , 13 ) 
E( 187 , 183 ) 
E( 187 , 12 ) 
E( 190 , 2 ) 
E( 190 , 188 ) 
E( 191 , 171 ) 
E( 191 , 20 ) 
E( 192 , 111 ) 
E( 192 , 175 ) 
E( 193 , 199 ) 
E( 193 , 6 ) 
E( 199 , 239 ) 
E( 199 , 40 ) 
E( 200 , 114 ) 
E( 200 , 186 ) 
E( 203 , 255 ) 
E( 203 , 52 ) 
E( 204 , 86 ) 
E( 204 , 154 ) 
E( 210 , 235 ) 
E( 210 , 57 ) 
E( 213 , 60 ) 
E( 213 , 233 ) 
E( 214 , 0 ) 
E( 214 , 214 ) 
E( 215 , 215 ) 
E( 215 , 0 ) 
E( 216 , 138 ) 
E( 216 , 82 ) 
E( 220 , 50 ) 
E( 220 , 238 ) 
E( 221 , 215 ) 
E( 221 , 10 ) 
E( 222 , 50 ) 
E( 222 , 236 ) 
E( 223 , 203 ) 
E( 223 , 20 ) 
E( 225 , 188 ) 
