E( 0 , 0 ) 
E( 0 , 133 ) 
E( 1 , 232 ) 
E( 1 , 233 ) 
E( 2 , 128 ) 
E( 2 , 130 ) 
E( 3 , 36 ) 
E( 3 , 39 ) 
E( 6 , 217 ) 
E( 6 , 223 ) 
E( 11 , 80 ) 
E( 11 , 91 ) 
E( 13 , 20 ) 
E( 13 , 25 ) 
E( 14 , 115 ) 
E( 14 , 125 ) 
E( 16 , 220 ) 
E( 16 , 204 ) 
E( 17 , 83 ) 
E( 17 , 66 ) 
E( 20 , 240 ) 
E( 20 , 228 ) 
E( 23 , 158 ) 
E( 23 , 137 ) 
E( 24 , 2 ) 
E( 24 , 26 ) 
E( 26 , 191 ) 
E( 26 , 165 ) 
E( 28 , 113 ) 
E( 28 , 109 ) 
E( 30 , 90 ) 
E( 30 , 68 ) 
E( 33 , 58 ) 
E( 33 , 27 ) 
E( 35 , 139 ) 
E( 35 , 168 ) 
E( 36 , 210 ) 
E( 36 , 246 ) 
E( 39 , 82 ) 
E( 39 , 117 ) 
E( 45 , 72 ) 
E( 45 , 101 ) 
E( 49 , 30 ) 
E( 49 , 47 ) 
E( 52 , 162 ) 
E( 52 , 150 ) 
E( 53 , 74 ) 
E( 53 , 127 ) 
E( 56 , 48 ) 
E( 56 , 8 ) 
E( 57 , 186 ) 
E( 57 , 131 ) 
E( 61 , 10 ) 
E( 61 , 55 ) 
E( 65 , 205 ) 
E( 65 , 140 ) 
E( 68 , 103 ) 
E( 68 , 35 ) 
E( 72 , 9 ) 
E( 72 , 65 ) 
E( 75 , 211 ) 
E( 75 , 152 ) 
E( 76 , 89 ) 
E( 76 , 21 ) 
E( 77 , 151 ) 
E( 77 , 218 ) 
E( 79 , 155 ) 
E( 79 , 212 ) 
E( 80 , 252 ) 
E( 80 , 172 ) 
E( 83 , 193 ) 
E( 83 , 146 ) 
E( 86 , 57 ) 
E( 86 , 111 ) 
E( 95 , 33 ) 
E( 95 , 126 ) 
E( 98 , 76 ) 
E( 98 , 46 ) 
E( 99 , 132 ) 
E( 99 , 231 ) 
E( 100 , 34 ) 
E( 100 , 70 ) 
E( 103 , 136 ) 
